Username,Name,Biography,Followers,Following
juegaplusx,Juega Plus | Juegos de Steam 🇪🇨,🙋‍♂️Atención personalizada 👑 Tus juegos favoritos directo a tu cuenta de Steam 🏷️ Precios asequibles y ofertas especiales 📥 Escríbenos al DM,4,0
pvlladxr3s.raw,𝔭𝔵𝔲𝔭𝔵𝔲,"@mindlessselfindulgence @ayeshaonline69 𝔰𝔱𝔞𝔯𝔰 𝔠𝔬𝔩𝔩𝔦𝔡𝔢⋆.˚ ⋆17⋆ 𝕯 ""ive got the key and he's just a doormat!""",476,543
colegiosangabrielquito,Colegio San Gabriel Quito,"Unidad Educativa de la #CompañíadeJesús.  “Formando líderes con fe, innovación y excelencia desde 1862”  #SerMásParaServirMejor #AmarYServir",6553,103
leomessi,Leo Messi,Bienvenidos a la cuenta oficial de Instagram de Leo Messi / Welcome to the official Leo Messi Instagram account,512620460,359
marvelstudios,Marvel Studios,#DaredevilBornAgain Season 2 is now streaming on Disney+  Stream all episodes of #WonderMan on Disney+,37445949,144
jonfavreau,Jon Favreau,actor/writer/director,2428298,72
eviezoe,eviezoe,,1166,521
playstation,PlayStation,PlayStation's official Instagram!  Get the latest PlayStation news ⬇️,32559010,98
galletttt,,"feto profesional CODIGO GALLET (cuenta oficial, vinculado en youtube)",114484,0
lumpytouch,Lumpy,"I'm Lumpy, the pixelart guy! Please enjoy my nightmares.",496399,41
ibaillanos,Ibai,La Velada del Año VI: 25 de julio.,15521548,577
amd,AMD,together we advance_  #AdvancingAI,2055878,185
minecraft,Minecraft,"Survive the night, or build a work of art.​ Welcome to Minecraft.​ ESRB RATING: EVERYONE 10+ with Fantasy Violence",13841272,9
rockstargames,Rockstar Games,The official home of Rockstar Games on Instagram,30808517,1008
nvidia,NVIDIA,NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work is transforming the world's industries.,2579146,34
tomholland2013,Tom Holland,@berobrewing founder,64069782,336
erszabeth666,𝓐𝓽𝓻𝓾𝓶 𝓬𝓪𝓮𝓵𝓾𝓶,3.14,672,69
karlitayanoexiste,Carrot 🥕,Líder de secta Shy desde el 2002 me gusta el té,1198,746
fcbarcelona,FC Barcelona,SHAPING THE FUTURE!💙❤️,147715339,107
kydyuzhini,Yuzhi KYD Ni,🗣️Honest tests on viral ads (KYD’s Trash or GOLD)  🕵️Old suspense mix (GOLD+TRASH) on @kydyuzhini_realbackup  👇Find GOLD products in my videos👇,12429520,23
