Username,Name,Biography,Followers,Following
luciano.glbrt,Luciano Gilbert,🇪🇸🇺🇸,907,1459
idk_paletita.018,Palé🍭,"FISIO🩺💙 - PUCE  -- 》🍭🎧《 -- ""Pintando mi propia realidad""🌌",329,3358
carlita_erii,Carlita,"Nunca es suerte, siempre es Dios ❤️ Life goes on ⚓ Te amo mil millones ✨",693,396
cries_en_artista,Nipo,Quizá solo sea una cuenta artística más… o tal vez un desahogo de mis malos pensamientos. Quién sabe 🤷🏻‍♂️,56,77
jude_camz,cami jarrín<3,"🎧🌱🫒🧝🏻‍♀️🦩❕                                                          coleccionista de cuarzos🪷 I love you dude, let it rip🧾👩🏼‍🍳",207,798
fructosa_bifosfato,,𝓢𝓸𝓵𝓸 𝓾𝓷𝓪 𝓼𝓲𝓶𝓹𝓵𝓮 𝓯𝓵𝓪𝓾𝓽𝓲𝓼𝓽𝓪 tratando de sobrevivir a este juego llamado vida 🦔 ٭₍˄·͈༝·͈˄₎◞ ̑̑ೃ🍄 (my little pony's version)🌈🦄,150,150
eseaemee,sam del hierro,,271,250
_angxxs,Angys,111,1556,3284
espumilla_d,Deyaneira Aleman,🐉 a blue soul,1734,2595
natth_p7,🐾Nathy Pérez,2 0 0 7 || Amor Fati✧⁠*⁠。 @babasonicos 𓆩♡𓆪 ִֶ,1704,884
yoya_gallegos17,Yoya Gallegos,"✩ Together, together",361,260
omar_alej3,Omar Fonseca,🇪🇨/📍🇦🇷/ UCA,535,510
pvlladxr3s.raw,𝔭𝔵𝔲𝔭𝔵𝔲,"@mindlessselfindulgence @ayeshaonline69 𝔰𝔱𝔞𝔯𝔰 𝔠𝔬𝔩𝔩𝔦𝔡𝔢⋆.˚ ⋆17⋆ 𝕯 ""ive got the key and he's just a doormat!""",473,539
ignazred,Igna,,340,359
humitas_garagesale,Humita’s Garagesale,Tienda online: ropita de segunda mano y accesorios nuevos  *besitos en el codo* Quito - Ecuador,305,541
alej_ic,Alejandro López,Zzz,268,738
davidloza493,David Arlert,El karma es un gato. 🗣️,175,455
its.chelxx,Chelo,,1155,863
maiden._.eby,⋆༺ 𝕰𝖇𝖞 ༻⋆,🩸︱ 𝕻𝖘𝖎𝖈 𝕸𝖊𝖙𝖆𝖑𝖍𝖊𝖆𝖉 ⛧,4917,923
thxonly_pia,·:*¨♱Pía♱¨*:·,°17°,444,424
